
id: 0
num_1: 34197	| 0000000017749383 cfc771d1266ed6b5 e6503424c62eef89 d11f3f7d770f418a ...
    6:	  0.000950	     0.030
   12:	  0.000655	     0.090
   18:	  0.000774	     0.134
   24:	  0.000835	     0.156
   30:	  0.000563	     0.142
   36:	  0.000621	     0.230
   42:	  0.000853	     0.264
   48:	  0.000587	     0.309
   54:	  0.000652	     0.370
   60:	  0.000808	     0.405
   66:	  0.000591	     0.412
   72:	  0.000838	     0.595
   78:	  0.000826	     0.651
   84:	  0.000870	     0.565
   90:	  0.000572	     0.528
   96:	  0.000849	     0.794
  102:	  0.000835	     0.604
  108:	  0.000575	     0.746
  114:	  0.000950	     0.684
  120:	  0.000544	     0.804
  126:	  0.000554	     0.766
  132:	  0.000584	     0.909
  138:	  0.000641	     0.996
  144:	  0.000831	     1.180
  150:	  0.000882	     1.073
  156:	  0.000899	     1.045
  162:	  0.001014	     1.255
  168:	  0.000611	     1.046
  174:	  0.000594	     1.055
  180:	  0.000580	     1.346
  186:	  0.000870	     1.278
  192:	  0.000639	     1.379
  198:	  0.000688	     1.308
  204:	  0.000866	     1.534
  210:	  0.000560	     1.383
  216:	  0.000618	     1.552
  222:	  0.000583	     1.820
  228:	  0.000592	     2.511
  234:	  0.000612	     2.218
  240:	  0.000599	     2.505
  246:	  0.000627	     2.535
  252:	  0.000636	     2.872
  258:	  0.000672	     3.001
  264:	  0.001022	     2.984
  270:	  0.000621	     3.437
  276:	  0.001122	     3.400
  282:	  0.001085	     3.526
  288:	  0.000641	     4.521
  294:	  0.000665	     4.414
  300:	  0.001101	     4.545
  306:	  0.001072	     5.129
  312:	  0.000628	     4.829
  318:	  0.000639	     4.977
  324:	  0.001075	     5.467
  330:	  0.001089	     6.799
  336:	  0.000639	     6.710
  342:	  0.001595	     7.637
  348:	  0.000669	     7.334
  354:	  0.000748	     9.665
  360:	  0.000720	    10.568
  366:	  0.000680	    10.862
  372:	  0.001151	    14.796
  378:	  0.000701	    13.169
  384:	  0.000744	    16.951
  390:	  0.000688	    21.334
  396:	  0.000733	    19.988
  402:	  0.001139	    25.872
  408:	  0.001283	    52.917
  414:	  0.001150	    50.658
  420:	  0.001157	     1.452
  426:	  0.000791	     2.060
  432:	  0.000723	     1.229
  438:	  0.000746	     3.036
  444:	  0.000748	     3.174
  450:	  0.001120	     3.301
  456:	  0.000790	     3.236
  462:	  0.000759	     3.303
  468:	  0.000739	     3.285
  474:	  0.001192	     3.367
  480:	  0.000747	     3.417
  486:	  0.000773	     3.669
  492:	  0.000749	     3.880
  498:	  0.001250	     3.809
  504:	  0.001172	     4.071
  510:	  0.001183	     3.892
  516:	  0.000788	     4.116
  522:	  0.000797	     4.194
  528:	  0.000791	     4.178
  534:	  0.000796	     3.765
  540:	  0.000755	     3.964
  546:	  0.000768	     4.014
  552:	  0.001212	     4.561
  558:	  0.001238	     4.852
  564:	  0.001201	     4.321
  570:	  0.000785	     4.524
  576:	  0.000750	     4.272
  582:	  0.000768	     4.334
  588:	  0.001375	     4.304
  594:	  0.000749	     4.809
  600:	  0.001242	     4.429
  606:	  0.001328	     4.806
  612:	  0.000787	     4.839
  618:	  0.000776	     4.935
  624:	  0.000789	     4.635
  630:	  0.001290	     4.880
  636:	  0.001282	     6.474
  642:	  0.000767	     6.209
  648:	  0.001220	     8.055
  654:	  0.000804	     6.598
  660:	  0.001194	     7.939
  666:	  0.000763	     8.014
  672:	  0.001232	     9.308
  678:	  0.001303	     8.438
  684:	  0.001261	     8.540
  690:	  0.000786	     8.584
  696:	  0.000737	     8.118
  702:	  0.001296	     9.295
  708:	  0.000838	     9.836
  714:	  0.001317	     9.461
  720:	  0.001276	    12.513
  726:	  0.000816	    12.015
  732:	  0.001234	    12.312
  738:	  0.000800	    13.179
  744:	  0.000768	    11.339
  750:	  0.001558	    13.607
  756:	  0.000806	    17.229
  762:	  0.000798	    15.344
  768:	  0.000854	    21.795
  774:	  0.001007	    24.731
  780:	  0.001360	    25.356
  786:	  0.001411	    26.106
  792:	  0.000799	    26.721
  798:	  0.001319	    35.692
  804:	  0.001251	    33.790
  810:	  0.000786	    45.933
  816:	  0.000787	    61.943
  822:	  0.000817	    68.809
  828:	  0.001248	    52.980
  834:	  0.001267	   120.916
  840:	  0.000806	     2.766
  846:	  0.001281	     3.826
  852:	  0.000826	     5.658
  858:	  0.000836	     6.650
  864:	  0.001249	     2.663
  870:	  0.000808	     6.473
  876:	  0.001345	     6.913
  882:	  0.000867	     6.135
  888:	  0.001351	     7.053
  894:	  0.000832	     6.715
  900:	  0.000880	     7.361
  906:	  0.001308	     7.458
  912:	  0.000811	     7.157
  918:	  0.001294	     7.723
  924:	  0.001377	     7.807
  930:	  0.000851	     7.655
  936:	  0.001348	     7.167
  942:	  0.000890	     7.984
  948:	  0.001326	     7.315
  954:	  0.001411	     7.900
  960:	  0.001392	     7.798
  966:	  0.000920	     7.384
  972:	  0.000952	     7.836
  978:	  0.000859	     7.639
  984:	  0.000830	     7.765
  990:	  0.000829	     7.750
  996:	  0.000823	     8.083
 1002:	  0.000881	     8.229
 1008:	  0.001338	     8.177
 1014:	  0.001382	     8.529
 1020:	  0.000838	     7.706
 1026:	  0.000864	     8.127
 1032:	  0.001288	     8.448
 1038:	  0.000876	     8.422
 1044:	  0.000866	     8.684
 1050:	  0.001292	     8.936
 1056:	  0.000868	     8.822
 1062:	  0.000859	    12.455
 1068:	  0.000834	    13.403
 1074:	  0.000833	    13.454
 1080:	  0.001287	    13.670
 1086:	  0.000825	    14.244
 1092:	  0.001310	    14.157
 1098:	  0.001289	    14.178
 1104:	  0.000835	    13.855
 1110:	  0.001330	    14.030
 1116:	  0.000835	    14.112
 1122:	  0.000886	    16.337
 1128:	  0.001312	    16.332
 1134:	  0.000915	    19.828
 1140:	  0.001356	    20.366
 1146:	  0.000849	    21.121
 1152:	  0.000911	    21.399
 1158:	  0.000863	    19.967
 1164:	  0.000871	    26.249
 1170:	  0.000813	    20.751
 1176:	  0.000848	    26.567
 1182:	  0.001493	    30.446
 1188:	  0.000937	    32.121
 1194:	  0.001327	    36.454
 1200:	  0.000839	    38.181
 1206:	  0.001341	    45.475
 1212:	  0.000854	    45.478
 1218:	  0.000842	    58.774
 1224:	  0.001295	    68.969
 1230:	  0.001401	    68.050
 1236:	  0.001407	    64.772
 1242:	  0.000927	   127.357
 1248:	  0.001371	   104.608
 1254:	  0.000880	   201.909
 1260:	  0.001005	     4.244
 1266:	  0.000865	     5.754
 1272:	  0.001469	     8.979
 1278:	  0.000882	     9.670
 1284:	  0.000900	     9.444
 1290:	  0.000823	    10.086
 1296:	  0.000918	     9.930
 1302:	  0.000856	    10.844
 1308:	  0.000858	    10.560
 1314:	  0.000868	    10.657
 1320:	  0.000839	    10.454
 1326:	  0.000894	     9.987
 1332:	  0.001318	    10.444
 1338:	  0.000909	    10.763
 1344:	  0.000852	    10.887
 1350:	  0.001356	    10.674
 1356:	  0.001364	    10.875
 1362:	  0.000861	    10.690
 1368:	  0.000875	    10.919
 1374:	  0.000916	    10.802
 1380:	  0.000896	    10.922
 1386:	  0.001449	    11.702
 1392:	  0.001345	    11.378
 1398:	  0.001288	    12.072
 1404:	  0.001442	    11.081
 1410:	  0.000875	    11.094
 1416:	  0.001320	    10.866
 1422:	  0.001359	    11.091
 1428:	  0.000918	    11.317
 1434:	  0.000928	    11.545
 1440:	  0.001401	    11.160
 1446:	  0.000893	    11.152
 1452:	  0.001386	    11.577
 1458:	  0.001415	    11.918
 1464:	  0.000882	    12.556
 1470:	  0.001316	    12.433
 1476:	  0.000929	    14.306
 1482:	  0.001386	    18.630
 1488:	  0.001342	    18.444
 1494:	  0.000874	    19.390
